Component,Description,Type
10.1002/hrm.22065,"One way or another? An international comparison of expatriate performance management in multinational companies. Due to the high costs and strategic importance of expatriate assignments, expatriate performance management (EPM) plays an increasingly important role for multinational enterprises (MNEs). However, research on EPM is still in its infancy. Drawing from the convergence/divergence debate in international human resource management, this study investigates and compares EPM strategies and practices across MNEs from three different country clusters to better understand whether EPM practices tend to converge, diverge, or crossverge (i.e., show aspects of both). Results from surveying 132 Anglo-Saxon, Germanic, and Japanese MNEs reveal prominent differences (divergence) at the EPM strategic level such that Japanese MNEs tend to pursue more ethnocentric staffing strategies and design EPM systems specifically tailored to expatriates. On the practice level, we found both commonalities and differences between Japanese and Anglo-Saxon and Germanic MNEs, pointing toward crossvergence. Theoretical and practical implications of our results are discussed.",art
10.1002/hrm.22055,"A vicious cycle of symbolic tokenism: The gendered effects of external board memberships on chief executive officer compensation. Integrating theoretical perspectives on tokenism and perceived preferential selection, we explore whether the relationship between chief executive officers' (CEOs') external board memberships and CEO compensation is gendered. Based on recent pressures to diversify corporate boards, we theorize that female CEOs' memberships on external boards will result in less monetary compensation relative to male CEOs due to concerns of organizational decision-makers that female CEOs generally inhabit token or symbolic positions of limited value. Additionally, we present competing hypotheses (i.e., mitigation vs. exacerbation) regarding how this devaluation will be affected by female representation on the board of directors and compensation committee, respectively. Using a panel sample of 12,464 firm-year observations comprising of 1,805 unique firms and 2,782 unique CEOs, the relationship between CEO external board memberships and compensation is indeed weaker for female compared to male CEOs. Furthermore, this devaluation primarily occurred in organizations where there was stronger (vs. weaker) female representation on the board of directors or compensation committee. However, supplemental analyses revealed that this differential devaluation was mitigated when female executives on the board held greater power (i.e., chaired important committees), highlighting the importance of moving beyond mere representation to ensuring influence on boards for female directors.",art
10.1108/PR-01-2024-0082,"Social mobility as a driver of employee silence in India: toward a contextualized understanding of silence in emerging markets. PurposeThis paper aims to explore how the context in a dynamically developing country affects employee silence in India.Design/methodology/approachQualitative design involving semi-structured interviews with employees and managers from different sectors in the Mumbai and Delhi areas. An abductive approach was used to analyze the data.FindingsTwo types of social mobility concerns - advancement aspiration and fear of social decline - emerged as salient drivers of silence and can be attributed to a volatile job market, social status markers, transferability of qualification, someone's socio-economic situation and the overall economic situation. Pathways were specified from social mobility concerns to silence tendencies that are motivated by both low approach and high avoidance.Research limitations/implicationsSocial mobility as a specific factor in the Indian distal context and as a characteristic of emerging markets can motivate silence while organization-related concepts like job satisfaction or commitment may have less predictive value. Propositions that were derived from the interview study need to be validated by deductive research. Generalizability of Indian findings across other emergent markets needs to be shown.Originality/valueTo the organizational behavior (OB) scholarship on silence, this research contributes by identifying antecedents of silence that are situated beyond the organizational boundaries challenging the dominant role of established factors at the team- and organizational level. To the human resource management/employment relations (HRM/ER) scholarship, this research contributes by theorizing psychological processes that link environmental factors to silence behaviors.",art
10.1108/PR-03-2023-0206,"Job design in blue- and white-collar jobs: the influence of transformational leadership on job crafting and i-deals. PurposeWhereas job crafting and idiosyncratic deals (i-deals) have primarily been studied in white-collar jobs, there is a lack of research on job design in less skilled and highly structured work. Our study addresses this gap by analyzing the effects of transformational leadership on job crafting and i-deals in blue- and white-collar jobs.Design/methodology/approachTo test our hypotheses, we surveyed 285 employees (31.9% blue-collar employees and 68.1% white-collar employees) in the German craft industry, using structural equation modeling for data analysis.FindingsOur results show that transformational leadership is a strong predictor of job crafting and i-deals but that its influence depends on the occupational group. More specifically, the moderating role of the occupational group in the relationship between transformational leadership and job crafting differs regarding job crafting's dimensions. Concerning i-deals, transformational leadership's influence on both development and task i-deals is stronger in white-collar jobs than it is in blue-collar jobs.Practical implicationsThe study provides new insights into the important role of the work context in which leadership takes place. In particular, these insights can guide leaders in how to manage different occupational groups to engage them in proactive behaviors.Originality/valueThis study is the first to compare the contextual roles of blue- and white-collar jobs with regard to job design. By examining the influence of transformational leadership on job crafting and i-deals in two occupational groups, our study contributes to research on the role of work context in the effectiveness of transformational leadership in encouraging employees to engage in proactive behaviors.",art
10.1108/PR-10-2023-0873,"A VUCA-ready workforce: exploring employee competencies and learning and development implications. PurposeThe author aims to develop an employee competency framework for a volatility, uncertainty, complexity and ambiguity (VUCA) environment and propose learning and development (L&D) interventions for organisations and employees to develop competencies for thriving in a VUCA environment.Design/methodology/approachThe framework synthesis method was used to determine employee competencies that are essential in a VUCA world.FindingsThe author identified 10 competencies that are essential for employee development in a VUCA world. The author categorised these employee competencies as cognitive (cognitive flexibility, agility mindset and personal ambidexterity), cross-cultural (cross-cultural intelligence and cross-cultural collaboration), analytical (creativity and complex problem solving) and personal effectiveness competencies (personal resilience, continuous learning and adaptive mindset).Practical implicationsThe proposed competencies could be used for the personal development of employees and organisations. The VUCA competency framework developed in this study includes behavioural dimensions for each competency, which could be used in self-assessment, recruitment and selection and talent and performance management. Furthermore, the author proposes L&D interventions required for developing these competencies. Overall, this study contributes to human resources (HR) development in the VUCA era by proposing the development of specific individual competencies as necessary conditions for survival and growth.Originality/valueVUCA competencies empower employees to not only survive but also thrive in an unpredictable and rapidly changing world. By incorporating these competencies in L&D interventions, organisations can help employees develop the necessary competencies to thrive in a VUCA environment, thus contributing to their personal and organisational success.",art
10.1108/PR-09-2021-0673,"Work interrupted at home: examining the influence of supportive teleworking practices on work-family conflict. PurposeBy utilizing boundary theory and distraction-conflict theory, this study attempted to examine the influential process of supportive teleworking practices granting work scheduling autonomy on work-to-family conflict (WFC) via the mediating mechanism of work interruption initiated from home.Design/methodology/approachThe study conducted two-wave online questionnaire survey to obtain a final sample of 277 remote knowledge workers in Taiwan during the peak period of COVID-19 pandemic. Hypotheses were tested with partial least squares-structural equation modelling using SmartPLS 3.0 software.FindingsThe results revealed that supportive teleworking practices did not directly decrease the level of WFC while home-sourced work interruptions fully mediated the negative relationship between supportive teleworking practices and WFC.Originality/valueThis provides a more nuanced explanation for how and why supportive teleworking practices are beneficial for employees to cope with the challenge of work-home interferences under the new ways of working. The findings simultaneously address evidence-based practices to better deal with mandatory teleworking during potential societal crisis beyond the COVID-19 pandemic.",art
10.1108/PR-02-2023-0122,"Quiet quitting: a new wine in an old bottle?. PurposeJust as the Covid-19 pandemic has hit all areas of life, it has also hit the working life. Towards the end of the pandemic period, the concept of quiet quitting entered people's lives. The phenomenon of quiet quitting has been introduced as a brand new concept in the mainstream media and social media in general. The primary objective of this study is to investigate and define the emerging phenomenon of quiet quitting. Furthermore, this study aims to compare this novel phenomenon with other established theoretical approaches in the field of management.Design/methodology/approachThis review study specifically examines the concept of quiet quitting, aiming to gain a deeper understanding of this phenomenon.FindingsContrary to popular belief, the phenomenon of quiet quitting is not a recent or trendy occurrence. Instead, it has persisted for numerous years and is intertwined with various theories such as motivation, commitment, engagement and social exchange theory.Practical implicationsThis study provides employers, managers, HR practitioners with recommendations on how to address the employee's quiet quitting behavior.Originality/valueThis study represents a pioneering work that explores an uncharted territory, the phenomenon of quiet quitting. The authors demonstrated and relate the historical processes of management theories to the phenomenon of quiet quitting, which is a concept that appears to lack roots.",art
10.1108/PR-04-2021-0239,"Green human resource management and employee innovative behaviour: does inclusive leadership play a role?. PurposeThis study examines the relationship between green human resource management (green HRM) and employee innovative behaviour. It also investigates the mediating role of job satisfaction to explore the mechanism through which green HRM is related to employee innovative behaviour. Additionally, it examines the moderating role of inclusive leadership to determine the boundary condition of the relationship between green HRM and employee innovative behaviour.Design/methodology/approachThe study used a quantitative research approach using survey and collected 508 responses from full-time employees in Australia.FindingsThe authors have found support for all the hypothesised relationships in the study. Specifically, green HRM is positively related to employee innovative behaviour. This relationship is mediated by job satisfaction and accentuated by inclusive leadership.Originality/valueGreen HRM promotes a green atmosphere in which employees can contribute to a safer and healthier environment. Despite the increasing attention to green HRM in the management literature, little is known about the mechanisms and boundary conditions explaining employees' responses to green HRM.",art
10.1108/PR-05-2020-0354,"Impact of internal corporate social responsibility: a parallel mediation analysis. Purpose Workplace deviant behaviors (WDBs) have a significant negative impact on firms. Present study explores the role of employees' perception of firms' internal corporate social responsibility (internal CSR) in reducing their intention to engage in WDB. Social exchange theory (SET) and job demand-resource (JD-R) model form the conceptual underpinning of the study. Design/methodology/approach Hypotheses were developed based on a comprehensive literature review and tested on employees working in various public and private sector organizations in India. AMOS and SPSS PROCESS macro were used to test the conceptual model. Findings Employees' perception of firms' internal CSR reduced their intention to engage in WDB. Occupational strain was confirmed as a mediator in the above mentioned relationship. Further, the study also establishes internal CSR as an antecedent to increased perceptions of procedural justice. Practical implications Managers may leverage internal CSR communication as a tool to minimize WDB at the workplace. Moreover, it may also be used to reduce occupational strain and strengthen the perceptions of fairness among employees. Originality/value Very limited research is available on internal CSR and WDB. Through this study authors contribute to the nascent literature by affirming the negative relationship between internal CSR and WDB using the SET and JD-R model.",art
10.1108/PR-10-2021-0774,"Helping as an opportunity and risk: an alternative side to gratitude in co-worker dyads. Purpose As workplaces and relationships evolve with increasing complexity, co-worker dynamics have become a key concern for HR managers and scholars. An important yet overlooked aspect of co-worker dynamics is gratitude. This paper adopts a relationship-specific conceptualization of gratitude and explores its influence on prosocial behaviors within co-worker dyads. The proposed model also suggests structural-relational factors under which these relationships are affected. Design/methodology/approach The conceptual paper draws insights from personal relationships to consider an alternative side of gratitude's prosocial action tendencies, thereby highlighting two: risk-oriented and opportunity-oriented. These assumptions are then situated within the affect theory of social exchange to predict gratitude's influence on prosocial behaviors within co-worker dyads. Findings The proposed model illuminates the importance of studying relationship-specific gratitude within co-worker relations by illustrating its effects on two types of prosocial action tendencies - opportunity-oriented and risk-oriented and varying prosocial behaviors (from convergent to divergent). Structural-relational factors, such as positional and physical distance between co-workers, are considered to affect these relationships. Originality/value While the study of gratitude in the workplace is emerging, little research has examined its influence on the nature of prosocial behaviors within co-worker relations. This paper advances the notion that gratitude serves an adaptive function in co-worker dyads, thereby highlighting the risk-oriented and opportunity-oriented continuum, and its implications for the type and scope of prosocial behaviors exchanged.",art
10.1108/PR-10-2021-0709,"Impact of workplace safety on well-being: the mediating role of thriving at work. Purpose Based on the socially embedded model of thriving at work and using the conservation of resources and job demands-resources theories, this study aims to examine the mediating role of thriving at work, as a personal resource, in the relationship between workplace safety, as job resource, and well-being. Design/methodology/approach The authors used structural equation modeling to test the mediation model on a sample of 350 correctional officers. Findings The results provided support to the authors' model. The authors found that workplace safety is positively linked to job satisfaction and negatively to health complaints, and these relationships are partially mediated by thriving at work. Consistent with the conservation of resources theory, thriving at the workplace is a mechanism that translates the positive effect of workplace safety on well-being. Originality/value The contribution of this research resides that a safe work environment leads to improved health and job satisfaction via thriving at work because thriving correctional officers feel energetic and able to acquire and apply knowledge and skills at workplace.",art
10.1108/PR-08-2021-0573,"You're so good-looking and wise, my powerful leaders! When deference becomes flattery in employee-authority relations. Purpose The purpose of this study is to investigate the relationship between employees' deference to leaders' authority and their upward ingratiatory behavior, which may be invigorated by two personal resources (dispositional greed and social cynicism) and two organizational resources (informational justice and forgiveness climate). Design/methodology/approach In this study survey data were collected among employees who work in the banking sector. Findings Strict adherence to leaders' authority stimulates upward ingratiatory behavior, especially when employees (1) have a natural tendency to want more, (2) are cynical about people in power, (3) believe they have access to pertinent organizational information and (4) perceive their organization as forgiving of mistakes. Practical implications For human resource (HR) managers, this study points to the risk that employees' willingness to comply blindly with the wishes of organizational leaders can escalate into excessive, inefficient levels of flattery. Several personal and organizational conditions make this risk particularly likely to materialize. Originality/value This study extends prior human resource management (HRM) research by revealing the conditional effects of an unexplored determinant of upward ingratiatory behavior, namely, an individual desire to obey organizational authorities unconditionally.",art
10.1108/PR-08-2021-0585,"Exhausted by social distancing at work: understanding the effects of COVID-19 pandemic in workgroups. Purpose In the new post-COVID-19 work order, this study aims to examine whether and how individual-level social distancing interacts with workgroup-level socio-affective support to influence employee exhaustion and performance. Design/methodology/approach Multi-level analyses of time-lagged multi-source data from 231 employees nested in 34 workgroups were conducted to test our hypothesized relationships. Findings Analyses revealed a significant relationship between social distancing and employee performance via emotional exhaustion. Further, the positive relationship between social distancing and emotional exhaustion was attenuated by workgroup team orientation and support for innovation, and the indirect effect of social distancing on employee performance was weaker in workgroups with a high team orientation and high support for innovation. Originality/value This study extends the job demands-resources theory to the new work order and examines the impact of workplace social distancing on employee outcomes in the context of workgroup membership.",art
10.1108/PR-01-2021-0032,"Insider perspectives on director remuneration governance deliberations. Purpose Companies around the globe increasingly receive immense shareholder scrutiny due to perceivably excessive executive director remuneration. The debate in South Africa intensifies due to severe pay inequality. The authors thus accounted for the perspectives of asset managers and listed financial services companies in South Africa pertaining to the impact of voting and engagement on director pay policies and practices. Design/methodology/approach Semi-structured interviews were conducted with selected asset managers, chief executive officers, chief financial officers and remuneration committee members of listed financial services companies to gauge their views on the impact of shareholder activism endeavours on remuneration governance. The qualitative data was analysed by conducting thematic analysis. Findings Most of the asset managers and financial services representatives preferred proactive, private engagement on pay concerns, given the impact thereof on voting outcomes, and ultimately director remuneration practices and policies. Independent remuneration committees have a prominent role in facilitating engagements with investors to ensure fair remuneration. Research limitations/implications The consequences should be clearer if organisations receive substantial votes against their pay policies and implementation reports. South African regulators can consider the two-strikes rule to ensure that action is taken in response to shareholder voting on director remuneration matters. Originality/value Representatives of asset managers and listed financial services investee companies offered valuable insights on remuneration governance deliberations in an emerging market. This in-depth analysis highlights the importance of proactive engagement to ensure that corporate leaders are paid fairly.",art
10.1108/PR-03-2021-0212,"Understanding the role of job quality in the association of employees' career change to self-employment and job satisfaction. Purpose - While researchers have discussed the association between career change to self-employment and job satisfaction, few have considered how the association is achieved. Therefore, in this study, the authors aim to explain this relationship from the perspective of job quality. The authors build on job design theory to propose and empirically test how fluctuations in job satisfaction as associated with the transition to self-employment can be explained by changes in job quality. Design/methodology/approach - The authors tested their propositions using a longitudinal, nationally representative database from Australia for the 2005-2019 period. The final sample included 108,384 observations from 18,755 employees. Findings - In line with the literature, the authors found that job incumbents experienced low job satisfaction in the years prior to their career change to self-employment and that their job satisfaction improved after the transition. More importantly, the authors found the same change pattern for job quality - measured as job autonomy and skill variety - and the statistical results demonstrated that job quality was the key determinant of job satisfaction during the process. Practical implications - This study advocates the importance of job quality in managing employee wellbeing and facilitating retention. Originality/value - The authors contribute to the literature by uncovering how job quality, represented by skill variety and job autonomy, can explain fluctuations in job satisfaction during individuals' career change from paid employment to self-employment.",art
10.1108/PR-06-2021-0469,"Neurodiversity and remote work in times of crisis: lessons for HR. Purpose The rich qualitative study builds on 11 semi-structured interviews with nine neurodivergent employees and two business professionals supportive of neurodiversity to understand the lived experiences of dealing with crisis in a remote working environment. Design/methodology/approach The purpose of the reported research is to understand how neurominorities experience remote working in the times of crisis and what the implications of this are for human resource (HR) professionals. Findings Moving to remote work resulted in a lack of routine, distractions and working long hours, which can all be difficult for line managers to monitor. Further problems with communication in a virtual environment and lack of understanding by others were found to be particularly burdensome to neurodivergent individuals. On the positive note, remote working in the times of crisis allowed for avoiding sensory overwhelm and was seen as an important step in creating a healthy work-life balance (WLB). Practical implications The findings of this study point HR practitioners' attention towards building a more neurodiversity friendly post-pandemic workplace and prompt employers to offer working arrangements, which better suit employees' domestic and personal circumstances. Originality/value This study addresses the lack of research on the impact of the Covid-19 crisis on neurominorities. In doing so, it answers recent calls to move away from universal HR as a route to positive employee outcomes and facilitates a more accurate reflection of organizational reality for disadvantaged members of society.",art
10.1108/PR-02-2021-0109,"A multilevel model of abusive supervision climate. Purpose Abusive supervision climate (ASC) affects not only direct subordinates of abusive supervisors but also their colleagues who work in the same group. Therefore, this study aims to examine the underlying processes and boundary conditions of ASC's effects on group members' behaviors. Design/methodology/approach The study collected data from 213 employees in 51 workgroups across 13 organizations in Pakistan. Data were analyzed in MPlus version 8 (Muthen and Muthen, 1998-2017) using a random intercepts multilevel model. The authors followed the procedures for testing 2-1-1 mediation with a participant-level mediator as outlined in Pituch and Stapleton (2012). Findings The results revealed that anger mediated the negative relationship between ASC and group members' organizational citizenship behaviors (OCBs), as well as the positive relationship between ASC and group members' withdrawal. In addition, agreeableness moderated the effect of group members' anger on OCBs, such that the relationship was stronger for more agreeable group members. Originality/value The findings contribute to the abusive supervision literature by elucidating anger as one mechanism through which ASC affects group members and by incorporating personality differences to better understand group members' behavioral responses.",art
10.1108/PR-01-2023-0042,"Organizational formalization neutralizes the effect of leader trait anger and vision on follower trust in the leader. PurposeWe integrate trait, individual differences and substitutes for leadership theories to examine how leader trait anger influences leader vision and follower trust in the leader across high versus low levels of organizational formalization.Design/methodology/approachWe obtained data from two independent multi-source samples from different occupations and countries. Sample 1: leader-follower dyads (n = 179) collected over three measurement periods from the Philippines; Sample 2: cross-correlational sample of leaders (n = 166), their manager (n = 166) and their followers (n = 610) from Australia.FindingsWe tested our hypotheses using PROCESS (Hayes, 2018) and found that leader trait anger influenced follower trust in the leader both directly and indirectly through leader vision (Samples 1 & 2). We also found that organizational formalization neutralized the effect of leader vision on follower trust in the leader (Sample 2).Research limitations/implicationsWhile we used a time-lagged design in Sample 1, we cannot make strong causal claims as might be the case in an experimental study, for example.Practical implicationsOur results highlight the adverse effect of leader trait anger on perceptions of leader vision and follower trust in the leader, which we suggest should be considered in recruitment and promotion decisions. Our findings also suggest that high levels of organizational formalization may undermine the motivational effect of leader vision on followers, which should be considered in relation to organizational rules and procedures.Originality/valueThis research enhances our understanding of a previously unexplored boundary condition (i.e. organizational formalization) that appears to neutralize the motivational effect of leader vision. In addition, it highlights the ubiquitous effect of trait anger, in this case undermining the effectiveness of leader vision and trust in the leader, from two different observer perspectives (i.e. leaders' followers and managers).",art
10.1108/PR-08-2023-0685,"The role of family support on the effects of paramedic role overload on resilience, intention to leave and promotive voice. PurposeParamedics have played a critical role in the health care system response to the COVID-19 pandemic as frontline responders. However, in comparison to other health care workers (i.e. nurses), less research has been conducted on how paramedic work has been undertaken and how they manage their resources in the context of high workloads. This study examines several factors that deplete paramedic resources as well as the importance of family support in buffering the effects of low levels of resilience that can impact paramedic intention to leave and promotive voice.Design/methodology/approachData were collected from 648 paramedics employed by Ambulance Victoria, Australia, during the COVID-19 pandemic. We examine five hypotheses: (1) resilience mediates the relationship between role overload and intention to leave; (2) resilience mediates the relationship between role overload and promotive voice; (3) family support moderates the relationship between role overload and resilience; (4) family support moderates the indirect effect of role overload on intention to leave via resilience and (5) family support moderates the indirect effect of role overload on promotive voice via resilience.FindingsWe found that when family support was low, the impact of role overload on turnover intention via resilience was significant. When family support was low, the negative impact of role overload on promotive voice via resilience was significant. When family support was high, such a negative indirect effect was not significant in predicting employee promotive voice via resilience.Practical implicationsWe suggest that organisations should focus human resource management (HRM) policies and practices on family-friendly initiatives to further enhance family support resources to benefit individuals, families and organisations.Originality/valueOur findings demonstrate the importance of family support as a buffer to the negative effects of role overload on employee resilience and promotive voice. There is clear importance of the contextual elements of family support as a resource, and its absence may result in resource depletion and can act as a catalyst in a resource depletion spiral. This demonstrates the importance of organisations understanding and learning to utilise external resources to complement organisational and individual resources to reduce intention to leave and support promotive employee voice. We suggest that organisations should focus HRM policies and practices on family-friendly initiatives to further enhance family support resources to benefit individuals, families and organisations.",art
10.1108/PR-04-2023-0283,"How and when does family incivility steer employees towards work delays: implications for HR. PurposeThe purpose of this study is to investigate the negative spillover effects of family incivility on employees' ability to meet their work-related deadlines. Furthermore, we examine emotional exhaustion as a mediator and emotional intelligence as a moderator in this process.Design/methodology/approachWe test our predictions through a multisource, time-separated data collection involving 161 employee-supervisor dyads working in various hospitality sector organizations in Pakistan - a relatively understudied context where the hospitality industry is struggling.FindingsThe findings of our study indicate that exposure to rude family behavior hinders employees' ability to complete work tasks on time, as mediated by their emotional exhaustion. However, this harmful process can be curtailed if employees can rely on their emotional intelligence to regulate their own emotions and those of their family members.Practical implicationsThe findings of this study provide pertinent insights for HR managers and organizations to help their employees deal with family issues. Moreover, organizations can benefit from introducing training programs that improve employees' emotional intelligence and increase the likelihood that they do not default on their work deadlines.Originality/valueThis study extends the limited existing family incivility research by investigating its spillover effects on employees' ability to meet work deadlines, a previously unexplored relationship. In addition, we highlight the roles of two pertinent aspects: emotional intelligence and emotional exhaustion.",art
10.1108/PR-10-2023-0841,"Developing future competencies of people employed in non-standard forms of employment: employers' and employees' perspective. PurposeThe aim of this study is to analyze the differences between non-standard forms of employment (FoE) (i.e. dependent self-employment/business-to-business/B2B contract and contract of mandate) in terms of investing in the development of future competencies by employees and employers. This study also examined additional factors which influence these investments.Design/methodology/approachTo collect data, the computer-assisted telephone interview technique was used. 200 employees from different companies located in Poland participated in this study, wherein each of the above-mentioned FoEs (i.e. dependent self-employment and contract of mandate) was represented by 100 people. The Chi-Square test and multivariate logistic regression analysis were used in the statistical analyses.FindingsIn the case of only 2 out of 14 competencies, there were statistically significant differences between the two groups of respondents: the employers financed training courses for B2B employees more frequently than for mandate contract workers. Moreover, in only one case there was a statistically significant difference: the self-employed financed training courses themselves more often than mandate contract workers. This study revealed an important impact of other variables such as respondents' age, education level, parental status and industry on the training activities undertaken by employers and employees.Originality/valueAlthough the issue of developing future competencies is important, there is little research examining this problem in the context of people who work in non-standard FoE. Moreover, previous research primarily focused on identifying differences between people working under employment contracts and the self-employed. This article fills these research gaps as well as shows that more factors should be considered in the research models to get a deeper insight into the problem of non-standard FoEs.",art
10.1108/PR-01-2023-0035,"Employee and customer loyalty: two targets, one endeavor?. PurposeRecently, leading scholars suggested that firms should align strategic and tactical human resource management efforts to cope with growing turnover rates, and that the human resource management field should broaden its scope by embracing the views of all stakeholders. In this research paper, the authors aim to present a study inquiring about the influence of the implementation of an employee experience strategy on employee loyalty and the effect of employee loyalty on customer loyalty in a firm operating in the service sector.Design/methodology/approachThe authors used longitudinal data collected yearly from 2020 to 2022. Overall, 766 employees participated in the longitudinal study. The authors also analyzed cross-sectional data from 166 employees and their customers.FindingsThe study's results suggest that implementing an employee experience strategy increases employee loyalty. The study's findings also indicate that organizations implementing such a human resource management strategy reach employee and customer loyalty.Originality/valueThere is a lack of evidence about the positive effect of the alignment of an employee experience strategy and tactics on different organizational stakeholders. This study provides insights for scholars and practitioners willing to use the employee and customer experience framework to positively impact organizations.",art
10.1108/PR-03-2022-0211,"Linking leader-member exchange and work-nonwork balance: the mediating role of thriving at work and the moderating role of gender. Purpose The authors tested (1) the mediating role of thriving in the association between leader-member exchange (LMX) and work-nonwork balance (WNWB) and (2) the moderating effect of gender in the relationship between LMX and thriving. Design/methodology/approach Cross-sectional data were collected from six separate participant groups across an eight-month period (n = 522). Data analysis included confirmatory factor analysis to assess the construct validity of the proposed three-factor model. Hierarchical regression and the PROCESS macro were used to test three hypotheses. Findings The authors found thriving mediated an indirect effect of LMX on WNWB. In addition, we found that the relationship between LMX and thriving was moderated by gender, such that the relationship was found for females. Overall, the authors identified a moderated-mediation effect indicating an indirect effect of LMX on WNWB via thriving for females. Research limitations/implications Cross-sectional design suggests their results are theory driven. The authors suggest future studies replicate the study employing experimental designs. Practical implications The authors suggest organisations develop programs to enhance leadership and thriving capabilities as tools to manage WNWB. Originality/value The authors add to the thriving literature by revealing gender differences in the effectiveness of relational resources (i.e. LMX) in fostering employee thriving. Furthermore, the authors extend the efficacy of thriving beyond the workplace to include WNWB. The authors demonstrate the skills and knowledge acquired at work can be used to lessen the impact of WNWB.",art
10.1108/PR-11-2021-0782,"Pay-for-performance, procedural justice, OCB and job performance: a sequential mediation model. Purpose Building on the arguments of expectancy theory and social exchange theory, the present study provides insights into the process by which pay-for-performance (PFP) impacts employee job performance. Design/methodology/approach Based on a sample size of 226 employees working in a technology company in India, the study examines the relationships between PFP, procedural justice, organizational citizenship behavior (OCB) and employee job performance. Data on perceptions of PFP and procedural justice were collected from the employees, data on OCB were collected from the supervisors and the data on employee job performance were collected from organizational appraisal records. Findings The study found support for the positive relationship between PFP and job performance and for the sequential mediation of the relationship between PFP and job performance via procedural justice and OCB. Further, procedural justice was found to mediate the relationship between PFP and OCB. Research limitations/implications The study was cross-sectional, so inferences about causality are limited. Practical implications The study tests the relationship between PFP and employee job performance in the Indian work context. The study shows that the existence of PFP is positively related to procedural justice which, in turn, is positively related to OCB. The study found support for the sequential mediation of PFP-job performance relationship via procedural justice and OCB. Originality/value The study provides an insight into the underlying process through which PFP is related to employee job performance. To the best of our knowledge, such a study is the first of its kind undertaken in an organizational context.",art
10.1108/PR-11-2020-0836,"Public service motivation and public employees' turnover intention: the role of job satisfaction and career growth opportunity. Purpose This study investigated the mediating role of job satisfaction and the moderating role of career growth opportunity in the relationship between public service motivation (PSM) and public employees' turnover intention. Design/methodology/approach The authors recruited 587 public employees from Yunnan Province, China to test moderation and mediation hypotheses. The authors conducted confirmatory factor analysis to determine the discriminant and convergent validity of the measures of PSM, turnover intention, job satisfaction and career growth opportunity. Finally, the authors carried out bootstrapping to ascertain direct, indirect and conditional indirect effects. Findings PSM had a negative effect on public employees' turnover intention, but this relationship was partially mediated by job satisfaction. Career growth opportunity moderated the association between job satisfaction and turnover intention. In particular, the indirect effect of PSM on turnover intention through job satisfaction weakened under high career growth opportunities. Practical implications The results highlighted the significance of PSM and career growth opportunity in shaping public employees' work-related attitudes and behaviors. Public organizations should consider PSM a key criterion in recruitment and selection and pay more attention to the significance of intervening in career growth to satisfy public employees' psychological needs related to individual career development. Originality/value This study contributes to the literature on the disputed link between PSM and turnover intention and uncovered the underlying mechanism through which PSM affects public employees' turnover intention by proposing job satisfaction and career growth opportunity as a mediator and moderator, respectively.",art
10.1108/PR-10-2021-0727,"Free agents seeking for career support: exploring the expectations of skilled contingent workers vis-a-vis labour market intermediaries. Purpose Recent studies on contingent workers highlight their boundaryless and protean nature, and depict them as free agents who reject organisational forms of career support. Going beyond such current view, this paper aims to shed light on the career support provided by labour market intermediaries (LMIs) to skilled contingent workers (SCWs), the latter known as freelancers and consulting firms' employees. Design/methodology/approach Using a qualitative stance and an inductive approach, the authors draw on 33 interviews to grasp SCWs' discourses on the career support offered by LMIs, and their account managers. The thematic analysis reveals two main themes: the career support delivered by LMIs to SCWs, and the expectations of SCWs regarding potential additional forms of career support from LMIs. Findings The authors show that SCWs are supported by LMIs in their career via a number of career management practices and operational support, and account managers a likely to play a key role in the careers of SCWs by providing transactional and relational career support. Moreover, the authors stress that SCWs are free agents, yet seeking for forms of support from LMIs. Originality/value The present paper addresses the roles of LMIs regarding non-standard population of workers through the lens of SCWs, what has barely been undertaken in recent research. This paper also enriches current debates on the organisational support SCWs are willing to accept and benefit from, despite the idiosyncratic nature of their careers.",art
10.1108/PR-10-2020-0793,"Growth mindsets increase flexible work arrangement attractiveness: a policy-capturing study. Purpose Although flexible work arrangements (FWAs) are widely regarded as a desirable employee benefit, questions remain about which factors drive (or attenuate) applicant attraction to them. The authors offer a novel theoretical account by advancing the concept of lay theories (i.e. mindsets) around an individual's ability to juggle work and life responsibilities, defined as beliefs that the ability to juggle is either malleable (i.e. growth) or cannot be changed (i.e. fixed), which suggests greater efficacy increases attraction. Design/methodology/approach Utilizing an experimental policy-capturing design, 86 participants each rated a series of 64 job offers (N = 5,376) with several manipulated job attributes. Participants were randomly assigned into a growth or fixed mindset condition. Findings Multilevel regressions revealed that a growth (vs fixed) mindset caused participants to place greater weight on flexible work scheduling policies by reporting greater attraction to jobs with flexible arrangements. Practical implications Organizations may increase applicant attraction by taking steps to ensure that the value of work-life benefits is salient, such as offering concrete examples of how policies have been used. Originality/value This study questions the assumption that those who need flexibility are more attracted to FWAs and demonstrates that beliefs around one's ability to juggle work-life demands are a unique mechanism shaping applicant attraction.",art
